DBN,School Name,Total Grads - % of cohort,Dropped Out - % of cohort
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,64.3%,6.3%
14K477,SCHOOL FOR LEGAL STUDIES,58.9%,16.399999999999999%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,83.2%,3.1%
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,78.7%,6.7%
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,82.5%,7.2%
14K561,WILLIAMSBURG PREPARATORY SCHOOL,86.1%,7.4%
14K586,LYONS COMMUNITY SCHOOL,s,s
14K610,AUTOMOTIVE HIGH SCHOOL,54.5%,14.2%
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTI,68.3%,2.4%
15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52.7%,3.3%
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABO,84.2%,3.9%
15K462,SECONDARY SCHOOL FOR LAW,61.8%,4.5%
15K463,SECONDARY SCHOOL FOR JOURNALISM,54.3%,7.4%
15K464,PARK SLOPE COLLEGIATE,58.6%,6.9%
15K497,SCHOOL FOR INTERNATIONAL STUDIES,63.1%,10.8%
15K498,ACORN HS FOR SOCIAL JUSTICE,75%,6.3%
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,63.4%,14.1%
15K520,PACIFIC HIGH SCHOOL,12.7%,12.7%
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,10.3%,9.300000000000001%
15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,41.7%,14.3%
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,72%,2%
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,12.7%,12.7%
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,77.5%,1.4%
16K455,BOYS AND GIRLS HIGH SCHOOL,38.9%,19.2%
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND C,84.1%,4.3%
17K408,ACADEMY OF  HOSPITALITY AND TOURISM,69.099999999999994%,3.7%
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,19.8%,34.6%
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,39.299999999999997%,8.300000000000001%
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,61.5%,14.4%
17K531,SCHOOL FOR HUMAN RIGHTS  THE,81.7%,6.7%
17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,0%,8.1%
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,56%,8%
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,77.599999999999994%,12.9%
17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,98.7%,0%
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,49.1%,6.5%
