DBN,school_name,lat,long
15K448,Brooklyn Secondary School for Collaborative Studies,0.6798639980005,-74.001482257999
01M292,Henry Street School for International Studies,0.7137639470005,-73.985260039999
02M303,"Facing History School, The",0.7650267080005,-73.992516577999
02M432,Murray Hill Academy,0.7461063750005,-73.981009666999
06M467,High School for Law and Public Service,0.8559383070005,-73.927029633999
19K639,Brooklyn Lab School,0.6911439620005,-73.868426056999
09X252,Mott Hall Bronx High School,0.8393271260005,-73.901309789999
09X260,Bronx Center for Science and Mathematics,0.8337385590005,-73.902448244999
09X324,Bronx Early College Academy for Teaching & Learning,0.8287141800005,-73.917755701999
18K569,Kurt Hahn Expeditionary Learning School,0.6486636630005,-73.921898761999
19K583,Multicultural High School,0.6911439620005,-73.868426056999
10X439,Bronx High School for Law and Community Service,0.8600122210005,-73.888229603999
31R064,Gaynor McCown Expeditionary Learning School,0.5820220260005,-74.157848418999
18K617,High School for Innovation in Advertising and Media,0.6418442680004,-73.898687290999
09X250,Eximius College Preparatory Academy: A College Board School,0.8337385590005,-73.902448244999
16K498,Brooklyn High School for Law and Technology,0.6889255420005,-73.921084098999
11X299,Astor Collegiate Academy,0.8596983160004,-73.860741403999
15K656,Brooklyn High School of the Arts,0.6836539900005,-73.980472750999
14K488,Brooklyn Preparatory High School,0.7150375510005,-73.954649958999
29Q243,Institute for Health Professions at Cambria Heights,0.6955363360005,-73.734918341999
04M610,Young Women's Leadership School,0.7927069560005,-73.947299661999
05M157,The Urban Assembly School for Global Commerce,0.8073420870004,-73.939434186999
15K667,Sunset Park High School,0.6559528440005,-74.005497324999
10X442,"Celia Cruz Bronx High School of Music, The",0.8703774670005,-73.898162951999
01M696,Bard High School Early College,0.7189616170004,-73.976066020999
04M409,Coalition School for Social Change,0.7988651820005,-73.933365596999
03M494,High School of Arts and Technology,0.7742964110005,-73.984822700999
28Q896,"Young Women's Leadership School, Queens",0.7082078260005,-73.804077945999
11X290,Bronx Academy of Health Careers,0.8757542110005,-73.861387833999
14K454,Green School: An Academy for Environmental Careers,0.7098999600005,-73.943659934999
07X427,Community School for Social Justice,0.8160844810005,-73.930323838999
11X542,Pelham Preparatory Academy,0.8596983160004,-73.860741403999
27Q480,John Adams High School,0.6798314010004,-73.838322663999
30Q258,Energy Tech High School,0.7570971560005,-73.932618400999
12X267,Bronx Latin,0.8277639790004,-73.900386812999
19K660,W. H. Maxwell Career and Technical Education High School,0.6742242140004,-73.896453520999
12X242,Mott Hall V,0.8313645320005,-73.878344674999
13K595,Bedford Academy High School,0.6853812690005,-73.954267599999
02M296,High School of Hospitality Management,0.7650267080005,-73.992516577999
07X500,Hostos-Lincoln Academy of Science,0.8149553420005,-73.912519541999
19K683,"The School for Classics: An Academy of Thinkers, Writers and Peformers",0.6706832500005,-73.874217479999
25Q425,John Bowne High School,0.7386972030005,-73.824794820999
12X511,Bronx Envision Academy,0.8359373280005,-73.890467692999
11X275,High School of Computers and Technology,0.8757542110005,-73.861387833999
07X221,South Bronx Preparatory: A College Board School,0.8140108160005,-73.920836516999
10X696,High School of American Studies at Lehman College,0.8712553740005,-73.897516203999
06M540,A. Philip Randolph Campus High School,0.8183212690005,-73.950613827999
03M541,Manhattan / Hunter Science High School,0.7742964110005,-73.984822700999
02M305,"Urban Assembly Academy of Government and Law, The",0.7168672240004,-73.989531942999
02M551,Urban Assembly New York Harbor School,0.6907876290005,-74.019757325999
13K670,Benjamin Banneker Academy,0.6956624130005,-73.969286076999
03M860,Frederick Douglass Academy II Secondary School,0.8021745810005,-73.954008827999
25Q252,"Queens School of Inquiry, The",0.7245229840005,-73.809427989999
27Q475,Richmond Hill High School,0.6956492220005,-73.833584804999
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,0.7355194630005,-73.987604248999
11X509,High School of Language and Innovation,0.8596983160004,-73.860741403999
06M423,High School for Excellence and Innovation,0.8660455490005,-73.924856641999
27Q260,Frederick Douglass Academy VI High School,0.6019893360005,-73.762834322999
03M403,The Global Learning Collaborative,0.7857431570005,-73.974415227999
32K554,All City Leadership Secondary School,0.6974077960004,-73.913153461999
02M605,Humanities Preparatory Academy,0.7428881010005,-74.002127380999
05M670,Thurgood Marshall Academy for Learning and Social Change,0.8153648290005,-73.943896709999
24Q299,Bard High School Early College Queens,0.7450935190005,-73.936813897999
10X477,Marble Hill High School for International Studies,0.8770494430005,-73.912336598999
15K497,School for International Studies,0.6854518060005,-73.993491464999
17K122,Pathways in Technology Early College High School (P-Tech),0.6754023070005,-73.938881175999
08X349,Bronx River High School,0.8405139770005,-73.838120959999
10X264,Bronx Academy for Software Engineering (BASE),0.8559227100005,-73.882578979999
10X434,Belmont Preparatory High School,0.8600122210005,-73.888229603999
25Q281,East-West School of International Studies,0.7493028050005,-73.821808105999
27Q314,Epic High School – South,0.6757359220005,-73.816968335999
09X276,Leadership Institute,0.8412708780005,-73.897978676999
15K684,Millennium Brooklyn HS,0.6695981750005,-73.979255521999
08X432,BRONX BRIDGES HIGH SCHOOL,0.8223037650005,-73.855961389999
02M546,Academy for Software Engineering,0.7355194630005,-73.987604248999
09X350,New Directions Secondary School,0.8403733980005,-73.910838007999
08X530,Banana Kelly High School,0.8174394460005,-73.898049205999
31R450,Curtis High School,0.6447449010005,-74.081341273999
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",0.7449043610005,-73.726909641999
02M475,Stuyvesant High School,0.7177464150005,-74.014049042999
02M489,High School of Economics and Finance,0.7092196250005,-74.012025914999
14K685,El Puente Academy for Peace and Justice,0.7057659310005,-73.955728571999
17K590,Medgar Evers College Preparatory School,0.6671620820005,-73.950857954999
18K576,Victory Collegiate High School,0.6326274300005,-73.917797988999
28Q167,Metropolitan Expeditionary Learning School,0.7104355480005,-73.850630154999
01M509,Marta Valle High School,0.7205690790005,-73.985672690999
04M435,Manhattan Center for Science and Mathematics,0.7937417060005,-73.934084141999
21K620,William E. Grady Career and Technical Education High School,0.5825480380005,-73.963716220999
02M408,Professional Performing Arts High School,0.7614326990005,-73.988023697999
17K539,High School for Service & Learning at Erasmus,0.6494396750004,-73.958431197999
15K429,Brooklyn School for Global Studies,0.6854518060005,-73.993491464999
09X404,School for Excellence,0.8276026690005,-73.904475256999
17K531,"School for Human Rights, The",0.6595170060005,-73.942546498999
02M529,Jacqueline Kennedy Onassis High School,0.7577573860005,-73.983187792999
11X249,Bronx Health Sciences High School,0.8741317980005,-73.833804512999
15K464,Park Slope Collegiate,0.6695981750005,-73.979255521999
19K764,The Urban Assembly School for Collaborative Healthcare,0.6911439620005,-73.868426056999
11X288,Collegiate Institute for Math and Science,0.8596983160004,-73.860741403999
12X521,The Metropolitan Soundview High School,0.8313664900004,-73.878823276999
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",0.6949444070005,-73.986035323999
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",0.8104054150004,-73.906800115999
17K600,Clara Barton High School,0.6702705570005,-73.961654823999
11X514,The Bronxwood Preparatory Academy,0.8879192140005,-73.852871613999
19K422,Spring Creek Community School,0.6575226020005,-73.874777024999
26Q430,Francis Lewis High School,0.7405557140005,-73.792848145999
13K430,Brooklyn Technical High School,0.6881074230005,-73.976745071999
28Q310,Queens Collegiate: A College Board School,0.7135774590005,-73.796517824999
10X440,DeWitt Clinton High School,0.8800818400005,-73.885901532999
13K527,Urban Assembly Institute of Math and Science for Young Women,0.6946201190005,-73.988623944999
09X525,Bronx Leadership Academy High School,0.8435811950005,-73.903220037999
06M293,City College Academy of the Arts,0.8611133190005,-73.930452148999
14K477,School for Legal Studies,0.7119631130005,-73.940434366999
02M533,Union Square Academy for Health Sciences,0.7355194630005,-73.987604248999
18K567,Brooklyn Theatre Arts High School,0.6326274300005,-73.917797988999
10X437,Fordham High School for the Arts,0.8600122210005,-73.888229603999
32K168,The Brooklyn School for Math and Research,0.6969618480005,-73.910815938999
19K615,Transit Tech Career and Technical Education High School,0.6782307310005,-73.875973011999
29Q283,Preparatory Academy for Writers: A College Board School,0.6682322880005,-73.756839893999
16K688,The Brooklyn Academy of Global Finance,0.6915377650005,-73.933725781999
12X682,Fannie Lou Hamer Freedom High School,0.8308071540005,-73.886021315999
32K549,Bushwick School for Social Justice,0.6969618480005,-73.910815938999
17K524,International High School at Prospect Heights,0.6702989070005,-73.961647875999
01M450,East Side Community School,0.7297826870005,-73.983041440999
28Q505,Hillcrest High School,0.7087575550005,-73.802127485999
07X334,International Community High School,0.8100361920005,-73.917812481999
20K505,Franklin Delano Roosevelt High School,0.6202633730005,-73.982010999999
02M047,47 The American Sign Language and English Secondary School,0.7385990870005,-73.982511910999
08X305,Pablo Neruda Academy,0.8223037650005,-73.855961389999
28Q687,Queens High School for the Sciences at York College,0.7009987670005,-73.798153523999
17K751,Academy for Health Careers,0.6754023070005,-73.938881175999
09X263,Validus Preparatory Academy: An Expeditionary Learning School,0.8393271260005,-73.901309789999
07X600,Alfred E. Smith Career and Technical Education High School,0.8182468890005,-73.919735677999
18K637,Academy for Conservation and the Environment,0.6326274300005,-73.917797988999
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",0.8759754490005,-73.901234891999
12X251,Explorations Academy,0.8359373280005,-73.890467692999
27Q308,Robert H. Goddard High School of Communication Arts and Technology,0.6717694780005,-73.844977738999
09X413,Bronx High School for Medical Science,0.8403733980005,-73.910838007999
18K563,It Takes a Village Academy,0.6486636630005,-73.921898761999
09X231,Eagle Academy for Young Men,0.8451853270005,-73.896980667999
24Q485,Grover Cleveland High School,0.7112221950005,-73.908652129999
02M413,School of the Future High School,0.7389488860005,-73.985405171999
20K445,New Utrecht High School,0.6134244940005,-74.003653765999
19K504,High School for Civil Rights,0.6675531110005,-73.894800536999
01M448,University Neighborhood High School,0.7123318510005,-73.984796624999
28Q690,High School for Law Enforcement and Public Safety,0.6861780830005,-73.784082974999
29Q326,Cambria Heights Academy,0.7118182200005,-73.771191875999
03M859,Special Music School,0.7742964110005,-73.984822700999
02M376,NYC iSchool,0.7243528740005,-74.004759291999
13K483,The Urban Assembly School for Law and Justice,0.6946201190005,-73.988623944999
19K507,Performing Arts and Technology High School,0.6675531110005,-73.894800536999
04M372,ESPERANZA PREPARATORY ACADEMY,0.7930727770005,-73.942356557999
10X565,High School for Energy and Technology,0.8559227100005,-73.882578979999
02M419,Landmark High School,0.7428881010005,-74.002127380999
14K561,Williamsburg Preparatory School,0.7150375510005,-73.954649958999
08X282,Women's Academy of Excellence,0.8149183400005,-73.856565534999
21K559,Life Academy High School for Film and Music,0.5935938110005,-73.984729231999
08X269,Bronx Studio School for Writers and Artists,0.8206236370005,-73.893073518999
