SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class,DBN
Martin Van Buren High School,27.125,32.95,17,26Q435
Bayside High School,32.40526315789474,34.05263157894737,25.157894736842106,26Q495
"Queens High School of Teaching, Liberal Arts and the Sciences",28.983333333333334,32.611111111111114,23,26Q566
P.S. 043,27.5,28,27,27Q043
M.S. 137 America's School of Heroes,38.65,45.5,35,27Q137
P.S. 183 Dr. Richard R. Green,27.5,30,25,27Q183
J.H.S. 202 Robert H. Goddard,34.3,35,33,27Q202
P.S. 207 Rockwood Park,22,22,22,27Q207
J.H.S. 210 Elizabeth Blackwell,25.05,26,22,27Q210
P.S. 232 Lindenwood,34,34,34,27Q232
Frederick Douglass Academy VI High School,24.564285714285713,29,18.142857142857142,27Q260
Channel View School for Research,26.38235294117647,30.058823529411764,21.470588235294116,27Q262
Knowledge and Power Preparatory Academy VI,28.6,32,27,27Q282
"Queens High School for Information, Research, and Technology",23.276923076923076,27.76923076923077,18.23076923076923,27Q302
Robert H. Goddard High School of Communication Arts and Technology,30.116666666666667,32.388888888888886,28.166666666666668,27Q308
Academy of Medical Technology: A College Board School,23.327272727272728,26.727272727272727,19.454545454545453,27Q309
Scholars' Academy,25.93846153846154,30.46153846153846,19.692307692307693,27Q323
ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,24.3,25.8,22.6,27Q324
August Martin High School,28.77777777777778,33.666666666666664,22.27777777777778,27Q400
Beach Channel High School,29.41578947368421,32.21052631578947,24.157894736842106,27Q410
Richmond Hill High School,29.95,33.388888888888886,21.833333333333332,27Q475
John Adams High School,27.31578947368421,34.68421052631579,17.894736842105264,27Q480
"High School for Construction Trades, Engineering and Architecture",26.847058823529412,31.235294117647058,20.41176470588235,27Q650
J.H.S. 008 Richard S. Grossley,27.1,29,25,28Q008
J.H.S. 157 Stephen A. Halsey,17.3,19.4,14.4,28Q157
J.H.S. 190 Russell Sage,19.5,19.5,19.5,28Q190
J.H.S. 217 Robert A. Van Wyck,20,20,20,28Q217
York Early College Academy,25.10909090909091,28.545454545454547,21.727272727272727,28Q284
Queens Collegiate: A College Board School,22.52857142857143,25.857142857142858,19.214285714285715,28Q310
HILLSIDE ARTS & LETTERS ACADEMY,22.75,24.25,21.25,28Q325
HIGH SCHOOL FOR COMMUNITY LEADERSHIP,21.94,24.2,18.4,28Q328
Queens Satellite High School for Opportunity,27.553846153846155,31.076923076923077,22.615384615384617,28Q338
Forest Hills High School,31.205882352941178,35.588235294117645,19.294117647058822,28Q440
Jamaica High School,25.457894736842107,31.473684210526315,16.31578947368421,28Q470
Hillcrest High School,28.885714285714286,31.928571428571427,21.714285714285715,28Q505
Thomas A. Edison Career and Technical Education High School,29.616666666666667,32.833333333333336,20.333333333333332,28Q620
Queens Gateway to Health Sciences Secondary School,27.61111111111111,31.444444444444443,21.61111111111111,28Q680
QUEENS METROPOLITAN HIGH SCHOOL,29.55,30.5,27.5,28Q686
Queens High School for the Sciences at York College,26.006666666666668,31.266666666666666,20.4,28Q687
High School for Law Enforcement and Public Safety,29.34375,32.75,25.375,28Q690
"Young Women's Leadership School, Queens",21.87142857142857,26.928571428571427,16.428571428571427,28Q896
I.S. 059 Springfield Gardens,26.2,34,18,29Q059
Jean Nuzzi Intermediate School,21.5,21.5,21.5,29Q109
PS/IS 116 William C. Hughley,19.9,22,17.5,29Q116
I.S. 238 Susan B Anthony,23,24,21.666666666666668,29Q238
Queens Preparatory Academy,25.653333333333332,28.866666666666667,22.2,29Q248
Pathways College Preparatory School: A College Board School,25.775,29.666666666666668,21.666666666666668,29Q259
Excelsior Preparatory High School,25.27777777777778,28.88888888888889,21.944444444444443,29Q265
George Washington Carver High School for the Sciences,28.26875,32.5,21.6875,29Q272
Preparatory Academy for Writers: A College Board School,23.8375,26.5,21,29Q283
P.S./I.S. 295,18,18,18,29Q295
CAMBRIA HEIGHTS ACADEMY,22.3,23.2,21.4,29Q326
"Mathematics, Science Research and Technology Magnet High School",23.525,28.375,17.375,29Q492
"Law, Government and Community Service High School",28.158823529411766,31.529411764705884,24.058823529411764,29Q494
"Business, Computer Applications & Entrepreneurship High School",31.666666666666668,34.93333333333333,27.866666666666667,29Q496
Humanities & Arts Magnet High School,28.20769230769231,31.384615384615383,24,29Q498
P.S. 122 Mamie Fay,26.3,27,26,30Q122
Albert Shanker School for Visual and Performing Arts,14.2,16,12,30Q126
I.S. 227 Louis Armstrong,14.7,18,12,30Q227
I.S. 230,32,32,32,30Q230
Academy for New Americans,23,34,14,30Q235
"Young Women's Leadership School, Astoria",21.571428571428573,23,20.285714285714285,30Q286
Academy for Careers in Television and Film,22.363636363636363,25.454545454545453,17.272727272727273,30Q301
William Cullen Bryant High School,29.25,34.5,18.25,30Q445
Long Island City High School,25,31.94736842105263,14.263157894736842,30Q450
Frank Sinatra School of the Arts High School,27.88,33.53333333333333,20.533333333333335,30Q501
Information Technology High School,26.83529411764706,31.352941176470587,19.529411764705884,30Q502
Newcomers High School,26.976470588235294,30.823529411764707,20,30Q555
Academy of American Studies,31.094736842105263,34.1578947368421,26.36842105263158,30Q575
Baccalaureate School for Global Education,20.46923076923077,23.076923076923077,17.307692307692307,30Q580
I.S. 007 Elias Bernstein,34.2,34.75,32.75,31R007
I.S. 027 Anning S. Prall,28,32,23,31R027
I.S. 034 Tottenville,27.5,28,27,31R034
CSI High School for International Studies,25.66875,30.0625,20.125,31R047
I.S. 49 Berta A. Dreyfus,23,25.5,19.5,31R049
I.S. 061 William A Morris,25.5,28,23,31R061
Marsh Avenue School for Expeditionary Learning,11,11,11,31R063
Gaynor McCown Expeditionary Learning School,24.35,28.5,20.25,31R064
I.S. 075 Frank D. Paulo,29.7,30,29,31R075
The Michael J. Petrides School,30.272222222222222,34.44444444444444,24.61111111111111,31R080
New Dorp High School,28.2,34.55555555555556,17,31R440
Port Richmond High School,28.07894736842105,33.10526315789474,17.736842105263158,31R445
Curtis High School,27.311764705882354,33.88235294117647,16.176470588235293,31R450
Tottenville High School,30.2,34.05263157894737,21.894736842105264,31R455
Susan E. Wagner High School,29.24736842105263,34.21052631578947,18,31R460
Concord High School,22.114285714285714,26,19.428571428571427,31R470
Ralph R. McKee Career and Technical Education High School,28.28,31.866666666666667,22.866666666666667,31R600
Staten Island Technical High School,29.58823529411765,33.1764705882353,21.294117647058822,31R605
J.H.S. 162 The Willoughby,25.8,30,20,32K162
P.S. 377 Alejandrina B. De Gautier,31,32,30,32K377
J.H.S. 383 Philippa Schuyler,26.733333333333334,30.333333333333332,24.833333333333332,32K383
Academy for Environmental Leadership,22.40625,26.875,18.4375,32K403
EBC High School for Public Service–Bushwick,22.958823529411767,28.529411764705884,16.294117647058822,32K545
Bushwick School for Social Justice,22.76,25.866666666666667,19.866666666666667,32K549
Academy of Urban Planning,23.9,28,19.9375,32K552
All City Leadership Secondary School,17.79375,21.625,14.75,32K554
Bushwick Leaders High School for Academic Excellence,25.06,30,18.333333333333332,32K556
Bushwick Community High School,24.964285714285715,28.571428571428573,20.071428571428573,32K564
