DBN,Name,frl_percent,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total_enrollment
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,60,20.3,19.6,2.2,29.7,67.4,0,84.8,15.2,138
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,77,14.1,18.5,1.4,41.2,56,1,54,46,502
07X547,NEW EXPLORERS HIGH SCHOOL,90.4,15.7,25.1,0.5,30.3,68.1,0.5,57.7,42.3,383
07X548,ACADEMY FOR CAREERS IN SPORTS,74.3,5,18.7,0.4,26.6,70.4,0.4,84.3,15.7,477
07X551,BRONX ACADEMY OF LETTERS,79.1,9.4,24,0.5,34.1,64.3,0.9,44.5,55.5,555
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION H,76.7,9.1,22,1.4,35.9,61.5,0.7,92.7,7.3,738
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HI,75.7,17,26.1,1.2,32.4,64.9,0.8,79.6,20.4,663
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,77.8,10.4,19.6,3.1,39.2,56.9,0.5,28.6,71.4,587
08X269,BRONX STUDIO SCHOOL,85.6,9.2,13.4,1.2,22.4,74.8,1,44,56,500
08X282,YOUNG WOMEN'S LEADERSHIP SCHOOL BRONX,72.2,2.6,15.6,2.9,45.9,46.4,2.4,0.3,99.7,379
08X293,RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER & TEC,66.4,4.5,21.7,2.6,25.4,63.8,7.7,38,62,469
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TE,74.6,11.5,24.1,5.6,33.1,59.4,1,60,40,478
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD,75.8,15.9,27.3,2.5,26.2,69.9,1.4,66,34,359
08X312,MILLENNIUM ART ACADEMY,74.2,5.4,20.4,1.8,32.5,64.3,1,49.2,50.8,496
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,79.6,12.6,18,0.9,39.9,56.8,0.6,49.2,50.8,333
08X367,ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECH,87.3,2.6,22,2.8,35,60.2,2,62,38,500
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY,81.3,7.4,24.1,4.9,27.8,66,0.7,47,53,432
08X377,BRONX COMMUNITY HIGH SCHOOL,73.9,4.5,5,1,33,63.5,1,50.5,49.5,200
08X405,HERBERT LEHMAN HIGH SCHOOL,66.8,9.2,20.9,6.8,23,60.6,9,61.1,38.9,3593
08X432,BRONX BRIDGES HIGH SCHOOL,87.2,79.4,7.7,5.2,8.4,83.2,2.6,52.3,47.7,155
08X452,BRONX GUILD: A NEW YORK CITY OUTWARD BOUND SCHOO,69.2,7.2,23,3.9,33.8,61.3,0.7,49.5,50.5,305
08X519,THE FELISA RINCON DE GAUTIER INSTITUTE FOR LAW A,72.3,14,20.9,1.4,21.8,76,0.6,43,57,363
08X530,BANANA KELLY HIGH SCHOOL,81.9,13.5,25.7,0.7,32.6,65.4,1.1,49.9,50.1,451
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,83.8,11,28.3,4.7,28.8,64.9,1,57.1,42.9,191
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,85.7,11.2,22.2,1.5,36.8,60.8,0.3,28.3,71.7,717
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,83.9,29.3,21.1,1.1,27.9,69.3,0.8,50.1,49.9,355
09X231,EAGLE ACADEMY FOR YOUNG MEN,60.4,4,24.2,0.7,63.1,33.8,0.5,100,0,550
09X239,THE URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZ,50.2,19.9,27.7,0.7,56.7,40.4,0.7,100,0,141
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIEN,79.5,9.4,14.7,2.6,32,63.4,1.5,49.3,50.7,606
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE B,62.9,8.1,18.8,0.6,40.7,58.1,0.3,46.6,53.4,356
09X252,MOTT HALL BRONX HIGH SCHOOL,58.9,8.8,15.5,1.1,24.3,73.7,0.8,45.8,54,354
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,70,1.6,14,5.9,24.3,68.7,1.1,46.2,53.8,444
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LE,76.1,12.1,16.2,1.1,34.2,63.8,0.3,44.1,55.9,365
09X276,LEADERSHIP INSTITUTE,94.8,16.5,16.1,1.7,33,63.5,1.3,52.2,47.8,230
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,79.1,19.1,22.4,0.4,26,73.1,0.4,53.8,46.2,450
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARN,79.4,11,16.2,3,32,64.5,0.2,48.5,51.5,493
09X329,DREAMYARD PREPARATORY SCHOOL,80,24.4,19.5,0,26.9,69.9,0.3,44.1,55.9,349
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,85.7,86.6,0.9,0,0.6,99.4,0,48.8,51.2,336
09X403,BRONX INTERNATIONAL HIGH SCHOOL,82.3,87.1,1.2,1,22.8,72.2,3.7,45.7,54.3,403
09X404,SCHOOL FOR EXCELLENCE,81.4,20.7,26.2,0.3,34.5,64.5,0,52.3,47.7,386
09X412,BRONX HIGH SCHOOL OF BUSINESS,77.6,23.2,23.2,0.7,38.7,59.9,0.5,54.9,45.1,401
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,76.9,5.7,8.6,5.3,36.7,57.8,0.2,42.2,57.8,455
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNI,77.7,38.5,20.9,0.5,22.3,75.4,1.6,53.4,46.6,382
09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,66.2,6.6,14,2,30.4,66.2,1,45.9,54.1,763
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,79.7,6.4,17.7,1.1,56.2,41.4,0.4,51.5,48.5,532
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,76.9,9.6,20.3,0.7,41.1,57,0,43.3,56.7,705
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,84.3,8.7,22.3,0.3,36.8,62.5,0,14.6,85.4,323
10X141,RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141),39.7,6.7,15.2,8.8,13,53,24.9,51.8,48.2,1337
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,79.8,15.5,21.4,5.2,29.5,64.2,0.9,82.7,17.3,444
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,67.4,4.4,18.9,1.1,27.3,69.7,1.1,30.9,69.1,524
10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,71.5,6.7,15.6,1.5,35.6,57.4,3.3,16.5,83.5,540
10X243,WEST BRONX ACADEMY FOR THE FUTURE,86.3,13.2,19.5,3.5,24.7,69.5,1.3,57.9,42.1,636
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,95.1,88.7,0.4,6.8,5.4,84.7,3,52.3,47.7,497
10X284,BRONX SCHOOL OF LAW AND FINANCE,74.2,7.1,15.2,0.7,31.5,65.2,2.6,56.6,43.4,422
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HI,81.8,5.2,16.4,0,37.6,61.5,0.5,40.4,59.6,213
10X342,INTERNATIONAL SCHOOL OF LIBERAL ARTS,78.3,79.9,4.6,0.2,0,99.8,0,49,51,606
10X368,INTECH ACADEMY (MS/HS 368),77.9,12.1,14.3,4,11.9,81.9,2,48.9,51.1,1126
