DBN,Name,frl_percent,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total_enrollment
17K590,MIDDLE COLLEGE HIGH SCHOOL AT MEDGAR EVERS COLLE,59.1,0,0.5,0.9,95.7,2.8,0,41.8,58.2,1104
17K600,CLARA BARTON HIGH SCHOOL,73,8.3,12.7,1.8,91.2,5.8,0.7,23.8,76.2,1608
17K625,PAUL ROBESON HIGH SCHOOL,77.9,3.4,25.5,0.9,87.1,9.5,1.5,54.9,45.1,326
17K751,ACADEMY FOR HEALTH CAREERS,87.7,8,15.2,3.6,81.2,13.8,1.4,27.5,72.5,138
18K563,ITAVA IT TAKES A VILLAGE ACADEMY,76.5,30.4,11.5,1.8,92.9,4.5,0.5,49,51,382
18K566,BROOKLYN GENERATION SCHOOL,60.5,5.7,19.6,1.5,88.8,8.5,0.9,61,39,331
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,67.8,5,18.6,0.5,84.3,12.8,2.1,36.1,63.9,382
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,62.6,9.5,20.1,0,88.1,8.8,1.7,64.3,35.7,294
18K576,VICTORY COLLEGIATE HIGH SCHOOL,64.1,5.2,16.6,0.3,93.5,5.8,0,48.9,51.1,325
18K578,BROOKLYN BRIDGE ACADEMY,65,2.8,11.1,0.9,88,9.2,0.9,58.5,41.5,217
18K589,ARTS & MEDIA PREPARATORY ACADEMY,54.4,3.4,17.4,0.7,89.4,9.6,0,47.4,52.6,293
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND ME,61.3,8.1,18.1,1.3,85.8,10.6,1.3,66.5,33.5,310
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,71.6,7.7,18.4,1.3,86.6,11.4,0.7,51.5,48.5,299
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75.2,3.3,10.4,1.7,85,12.4,0.2,21.5,78.5,460
18K635,OLYMPUS ACADEMY,51.1,1.5,9.4,1,86.2,11.3,1,50.2,49.8,203
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,54.5,6.9,16.8,2.2,83.9,12,1.5,54.7,45.3,274
18K642,URBAN ACTION ACADEMY,76.4,11.1,12.5,2.3,82.3,10.5,3.9,62.6,37.4,305
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,56.7,0.5,8.9,1,88.7,9.4,0.5,52.2,47.8,203
19K409,EAST NEW YORK FAMILY ACADEMY,72.2,0.5,2.1,0.5,67.2,30.3,1.4,43.2,56.8,433
19K420,FRANKLIN K LANE HIGH SCHOOL,64.3,38.4,12.5,4.5,11.6,82.1,1.8,51.8,48.2,112
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,70.9,5,21,1,73.8,23.4,1.6,81.1,18.9,381
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,60.5,9.7,16.2,2,74.3,22.2,1,54.4,45.6,401
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,76,4.9,19.6,0.7,81.5,17.4,0,51.4,48.6,453
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SC,72.6,4.2,14.7,2.1,81.1,14.2,1.3,36.8,63.2,380
19K583,MULTICULTURAL HIGH SCHOOL,73.4,94.6,1,0,0.2,99.8,0,49.8,50.2,406
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH,62.3,2.4,14.2,4.4,70.5,23.2,1.5,84.1,15.9,1317
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,75.8,12.1,19.3,7.4,38.4,50.2,3,70.3,29.7,404
19K639,BROOKLYN LAB SCHOOL,76,15.4,19.4,1.5,30.7,65,1.3,58.4,41.6,397
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,67.1,16.2,11.7,8.2,16.9,73.2,1.4,47.8,52.2,437
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIG,73.3,5.3,26.6,0.5,71.9,25.4,0.7,29.8,70.2,590
19K683,THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS,81.9,9,17.7,10,54.3,34.7,0.6,37.6,62.4,311
20K445,NEW UTRECHT HIGH SCHOOL,59,23,15.6,35.9,5.5,28,30.5,59.3,40.7,3276
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNO,67.3,4.9,19.4,19.2,9.5,54.1,16.8,53.5,46.5,1280
20K490,FORT HAMILTON HIGH SCHOOL,45.9,21.2,12.8,30.3,5,30.2,34.2,53.4,46.6,4275
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,74.3,39.4,10.8,44.2,9.4,27.3,18.6,58.4,41.6,3108
20K609,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,82.7,15.5,17.1,35,33.7,21.9,9.1,0,100,374
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,73.8,89.2,0.3,42,14,21,22.7,58.9,41.1,343
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,70.4,11,16,12.3,24.1,25.8,37.6,53.6,46.4,481
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,69.2,2.4,14.6,2.7,68.4,23,5.9,88.9,11.1,370
21K410,ABRAHAM LINCOLN HIGH SCHOOL,53.3,16.7,11.5,19.3,35.1,20.1,25.1,56.4,43.6,2595
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,70,2.8,15.7,7.2,25,22.7,44.7,57.8,42.2,472
21K525,EDWARD R. MURROW HIGH SCHOOL,28.5,9.1,14.1,27.1,24.1,17.6,30.8,42.4,57.6,4022
21K540,JOHN DEWEY HIGH SCHOOL,58.7,19.6,8.7,39.1,30.6,19.1,10.8,51.5,48.5,2168
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,72,4.8,20.3,4.8,44.6,29.9,20.3,51,49,251
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEAD,64.4,21.7,16.4,19.5,19.5,41.2,19.5,51.3,48.7,226
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION,74.3,3.1,22.7,3.2,74.9,14,6.9,78,22,956
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,49.9,8.4,18.7,12.8,7.2,23.1,56.5,50.1,49.9,876
21K728,LIBERATION DIPLOMA PLUS,82.3,1.6,6.3,2.6,44,37.7,15.2,41.9,58.1,191
22K405,MIDWOOD HIGH SCHOOL,41.2,3.7,5.2,31.7,35.2,11.7,21.2,45.3,54.7,3842
22K425,JAMES MADISON HIGH SCHOOL,58.3,13.2,12.4,20.8,17.9,14.5,46.4,54.4,45.6,3076
22K495,SHEEPSHEAD BAY HIGH SCHOOL,53.1,21.7,13.1,12,61.8,15.8,10.1,53.2,46.8,1928
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,29,0.5,7.3,13.5,9.4,10.8,65.6,41.2,58.8,1022
22K555,BROOKLYN COLLEGE ACADEMY,48.4,0.2,1.7,5.9,77.9,12.4,2.7,36.3,63.7,630
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,74.5,1.6,12.1,1.9,88.1,8.3,0.5,50.7,49.3,580
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,66.9,1.4,20.3,0.8,88.5,10.4,0,48.5,51.5,365
23K643,BROOKLYN DEMOCRACY ACADEMY,62.3,2.4,16.1,1.5,85.9,11.7,0.5,47.8,52.2,205
23K644,EAGLE ACADEMY FOR YOUNG MEN II,67,3,24.1,0,87.8,11.3,0.6,100,0,336
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,72.5,2.2,7.3,1.5,77.8,20,0.4,46.2,53.8,275
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,72.1,1.1,8.8,0,86.2,13.8,0,48.6,51.4,181
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69.8,1.8,11,0.7,84.8,13.1,1.2,34.1,65.9,566
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,62.8,7.9,9.8,17.9,9.8,56.4,15.2,49.3,50.7,420
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,66.9,10.3,16.2,13.9,12.9,57.2,16,43.8,56.2,388
24Q293,CIVIC LEADERSHIP ACADEMY,71,9.1,18.5,7.8,9.1,79.3,3.3,44.5,55.5,449
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,78.3,91.3,0.8,0,0,100,0,47.8,52.2,366
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,39.2,0.3,0,32,16.2,21.2,30.3,39.3,60.7,631
24Q455,NEWTOWN HIGH SCHOOL,56.2,30,10.3,24.6,9.3,60.3,5.3,57.5,42.5,2572
24Q485,GROVER CLEVELAND HIGH SCHOOL,41.4,21.6,12.7,9.1,4.4,63.5,22.7,55,45,2069
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNIT,58.9,0.2,13.1,7.8,9.5,71.4,11.3,52.9,47.1,497
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY,75.7,76.5,0,43,2,44,10.3,46,54,493
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,69.6,13.3,12.2,9.1,8.3,79.2,3,43.1,56.9,828
24Q560,ROBERT F. WAGNER JR.,60.5,3.8,12.3,20.8,6.2,62.4,10.5,46.6,53.4,601
24Q585,MASPETH HIGH SCHOOL,40,5.2,8.1,19.8,4.8,46,29,46.8,53.2,248
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,71.9,6.4,13.7,10.2,6.9,74.2,8.7,60.3,39.7,1368
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOO,61.2,3.2,5.3,27.1,6.8,55.3,10.1,85.3,14.7,2201
24Q744,VOYAGES PREPARATORY,59.1,3.6,6,8.1,23,61.7,6.9,50.4,49.6,248
25Q252,THE QUEENS SCHOOL OF INQUIRY,41.3,2.7,11.8,40.2,17,24.2,18.1,46.7,53.3,587
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,84.1,88.6,0.7,64.5,1.2,32.7,1.7,57.3,42.7,422
25Q281,EASTWEST SCHOOL OF INTERNATIONAL STUDIES,53.3,13.6,9.4,62.7,14.8,17.9,3.4,54.1,45.9,616
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SC,33.5,0.8,17.8,19.3,8.4,20.3,51.6,42.2,57.8,595
25Q425,JOHN BOWNE HIGH SCHOOL,68.2,24.7,9.8,34.3,19.2,40.7,5.2,49.2,50.8,3660
25Q460,FLUSHING HIGH SCHOOL,67.6,20,11.7,19.9,26.5,49.8,3.2,55.8,44.2,3113
25Q525,TOWNSEND HARRIS HIGH SCHOOL,29.2,0,0.2,55.5,5.9,12.9,24.6,28.9,71.1,1140
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,46.4,7.5,18.4,28.4,11.5,35.4,24.5,53.8,46.2,721
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,54.1,1.5,11.6,10.1,42.4,33.3,14.1,45.5,54.5,198
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,37.3,6.1,11.5,45.7,18.4,18.6,16.8,47.4,52.6,3912
26Q430,FRANCIS LEWIS HIGH SCHOOL,51.6,13.2,12.3,51.9,8.3,24.1,15.5,49.2,50.8,4152
26Q435,MARTIN VAN BUREN HIGH SCHOOL,38.2,9.9,11.5,24.1,56.4,15.1,2.9,54.3,45.7,2390
26Q495,BAYSIDE HIGH SCHOOL,52.4,5.7,10.6,45.2,12.7,22.3,19.6,49.4,50.6,3308
26Q566,QUEENS HIGH SCHOOL OF TEACHING,39.5,2.5,13.9,23.8,46.3,16.8,12.3,45.8,54.2,1196
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,57.1,4,13.9,3.8,67,27,1.3,52.6,47.4,445
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,58,1.3,10.5,5.7,55.2,27.5,11.2,51.1,48.9,636
27Q302,QUEENS HIGH SCHOOL FOR INFORMATION RESEARCH,75.7,10.6,16.1,4.2,60.3,30,4.5,54.5,45.5,310
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION A,66.4,3.6,15.9,26.8,7.6,42.6,21.8,48.1,51.9,578
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD S,64.2,10.6,14,9.1,52.6,34.2,3.2,43.8,56.2,527
27Q323,THE SCHOLARS ACADEMY,35.9,0,1,22,19.2,15.9,41.6,43.9,56.1,1062
27Q324,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUST,74.4,7.9,18.7,3.9,50.7,28.6,15.3,59.6,40.4,203
27Q351,ROCKAWAY COLLEGIATE HIGH SCHOOL,60,8.2,23.5,6.1,53.1,28.6,4.1,54.1,45.9,98
27Q400,AUGUST MARTIN HIGH SCHOOL,65.1,4.3,16.5,6.2,79.9,11.5,1.7,55.2,44.8,1029
27Q410,BEACH CHANNEL HIGH SCHOOL,65.5,11.3,21.8,2,46.8,44.3,6.3,57.5,42.5,684
27Q475,RICHMOND HILL HIGH SCHOOL,61.8,17.4,13.7,32.9,16.8,46.4,3.2,53,47,2585
27Q480,JOHN ADAMS HIGH SCHOOL,75.5,16,12.1,27.5,27.7,37.1,3.6,54.5,45.5,3386
27Q650,THE HIGH SCHOOL FOR CONSTRUCTION TRADES,53.7,0.4,5.8,30.7,11.3,41.6,15.4,67.3,32.7,924
28Q157,JHS 157 STEPHEN A HALSEY,44.6,15.2,17.7,21.6,11.5,22.7,44,52.4,47.6,1247
28Q284,YORK EARLY COLLEGE ACADEMY,60.2,0,9.6,23.5,64.2,10.2,0.6,51.1,48.9,489
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,61.5,8.1,12.3,27,49,18.5,3,49.9,50.1,529
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,65.6,12.5,11,28,39,21,6.5,47,53,200
28Q328,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,75.3,26,13,19.2,39,33.9,5.6,50.8,49.2,177
28Q338,SATELLITE ACADEMY HS @ JAMAICA LEARNING CENTER,74.5,2,6,2.4,61.4,17.5,10,45.4,54.6,251
28Q350,JAMAICA GATEWAY TO THE SCIENCES,60,4.5,7.1,45.1,36.6,15.2,2.7,46.4,53.6,224
28Q440,FOREST HILLS HIGH SCHOOL,41.2,8.9,11.3,26.5,9,30.2,33.7,48.1,51.9,3834
28Q470,JAMAICA HIGH SCHOOL,55.8,29.4,14,31,41.7,25.9,1.1,58.9,41.1,564
28Q505,HILLCREST HIGH SCHOOL,65,15,9,36.5,36.6,22.8,2.9,46.1,53.9,3103
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION,54.3,1.4,11.4,50.9,23.7,21.1,3.2,65.1,34.9,2252
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHO,55.8,0.1,1.7,36.5,44.8,15.7,2.7,38.1,61.9,783
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,47.3,3.6,16,12.1,4.8,38.6,40.4,49.6,50.4,663
28Q687,QUEENS HIGH SCHOOL FOR SCIENCES AT YORK COLLEGE,25.6,0.2,0.2,74.4,10.5,7.9,6.7,56.5,43.5,418
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFET,58.3,2.1,16.6,8.4,73.7,15.1,1.3,53,47,536
28Q896,YOUNG WOMEN'S LEADERSHIP SCHOOL QUEENS,56.9,2.7,9,21,57.3,18.4,2.4,0,100,510
29Q248,QUEENS PREPARATORY ACADEMY,52.6,4.5,11.3,5.2,84.4,8.2,0.9,56,44,441
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE B,48.8,2.3,16,2.2,94.2,2.9,0.7,53.3,46.7,555
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,50.8,2.3,14.7,4.3,82.8,9.7,0.5,56.9,43.1,443
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCI,45,1.7,9.1,9.3,73.8,14.1,1.3,47.3,52.7,474
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD,51.2,1.9,14.4,3.4,84.1,10.4,0.8,43.1,56.9,473
29Q326,CAMBRIA HEIGHTS ACADEMY,71.1,2,13.6,3.4,87.1,7.5,2,55.1,44.9,147
29Q492,MATH SCIENCE RESEARCH AND TECHNOLOGY MAGNE,47.9,5.1,10.4,6.8,79.6,11.9,0.7,60.4,39.6,412
29Q494,LAW GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL,45.1,2.9,13.9,4.4,83.3,10.6,0.9,48.7,51.3,454
29Q496,BUSINESS COMPUTER APPLICATIONS & ENTREPRENEURSHI,43.5,6.5,19,6.2,85.3,5.4,0.8,67.1,32.9,353
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,51.5,3.5,14.8,4,85.9,8.5,1.5,42.8,57.2,481
30Q286,YOUNG WOMEN'S LEADERSHIP SCHOOL ASTORIA,68.1,5.5,5.3,39.2,4.2,40.4,16.2,0,100,495
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,54.1,2.9,14.6,6,20.5,53.5,18.9,53.2,46.8,419
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,33.7,17.9,12.1,28.9,7.3,48.8,14.5,53.7,46.3,2945
30Q450,LONG ISLAND CITY HIGH SCHOOL,62.8,13.2,13.8,13.2,11.4,62.7,12.5,51.3,48.7,3386
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,29.7,0.1,1.9,8.7,16.9,27.2,46.3,30,70,756
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,73.7,9.6,16,15.6,18.1,56.6,9.4,71.8,28.2,917
30Q555,NEWCOMERS HIGH SCHOOL,81.2,90.3,0,48.3,5.6,43.5,2.6,53.2,46.8,932
30Q575,ACADEMY OF AMERICAN STUDIES,52.4,5.7,8,29.1,6.8,34.7,29.4,45,55,704
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,32.2,0,0.2,34.8,3.2,24.3,37.3,44.8,55.2,440
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,29,0.2,13.9,11.5,12,17.9,58.5,41.5,58.5,532
31R064,MCCOWN EXPEDITIONARY LEARNING SCHOOL,35.4,1,22.8,5.9,15.7,17.6,60,52,48,408
31R080,MICHAEL J. PETRIDES HIGH SCHOOL,32.3,1.6,18.5,8.1,18.8,16.9,55.9,49.2,50.8,1308
31R440,NEW DORP HIGH SCHOOL,42.3,5.9,16.9,7,12.1,27.3,53.3,52.5,47.5,2658
31R445,PORT RICHMOND HIGH SCHOOL,53.3,5.3,20.9,6.8,30.9,37.6,24.2,54.8,45.2,2151
31R450,CURTIS HIGH SCHOOL,54.3,6.1,14.7,7.3,38.4,31.9,21.8,46.4,53.6,2552
31R455,TOTTENVILLE HIGH SCHOOL,18.4,1.4,13.9,5.4,2.1,9.9,82.1,49.6,50.4,3875
31R460,SUSAN E. WAGNER HIGH SCHOOL,41.4,3.4,18.8,14.6,11.3,24.1,49.4,50.8,49.2,3243
31R470,CONCORD HIGH SCHOOL,56.9,2.2,17.3,1.7,38,39.7,19.6,45.8,54.2,179
31R600,RALPH R. MCKEE CAREER AND TECHNICAL HIGH SCHOOL,59.7,3.6,26.2,4.6,40.3,33.2,21.6,67.1,32.9,675
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,17,0.1,0.5,31.8,1.1,5.3,61.3,57,43,1104
32K168,BROOKLYN SCHOOL FOR MATH AND RESEARCH,60,11.6,7,7,48.8,39.5,0,60.5,39.5,43
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,88.7,32.9,17.7,0.6,21,77.1,0.8,50,50,362
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBUSHWICK,86.9,15.3,12.2,1.7,9.2,88.1,0.7,52.1,47.9,606
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75.1,18.2,18.4,0.5,28.3,68.7,1.8,48.4,51.6,434
32K552,ACADEMY OF URBAN PLANNING,77.1,23.9,22.1,1.5,26.4,70.4,1,54.5,45.5,398
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,81.4,2.7,4.9,5.3,12.9,79.5,1.5,52.1,47.9,263
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELL,88,18.2,18.6,0.9,21.2,77.3,0,53.2,46.8,462
