CSD,SCHOOL CODE,SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class
19,K660,W. H. Maxwell Career and Technical Education High School,25.27857142857143,31.571428571428573,17.071428571428573
19,K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",25.84166666666667,29.166666666666668,22.25
19,K751,ACADEMY FOR HEALTH CAREERS,19.6,22,16
20,K030,I.S. 30 Mary White Ovington,29.5,30,29
20,K062,J.H.S. 062 Ditmas,26.3,29,22
20,K187,The Christa McAuliffe School\I.S. 187,28.6,30,27
20,K223,J.H.S. 223 The Montauk,19,19,19
20,K445,New Utrecht High School,27.88421052631579,34.78947368421053,16.473684210526315
20,K485,High School of Telecommunication Arts and Technology,30.433333333333334,34.27777777777778,23.055555555555557
20,K490,Fort Hamilton High School,28.31,32.9,17.7
20,K505,Franklin Delano Roosevelt High School,27.914285714285715,31.761904761904763,20.428571428571427
20,K609,Urban Assembly School for Criminal Justice,12.575,15,10.75
21,K096,I.S. 096 Seth Low,24.6,29.666666666666668,19.666666666666668
21,K209,P.S. 209 Margaret Mead,25.2,34,16
21,K228,I.S. 228 David A. Boody,12.4,14,10
21,K238,P.S. 238 Anne Sullivan,21,21,21
21,K239,Mark Twain I.S. 239 for the Gifted & Talented,33.15,39,26.25
21,K288,P.S. 288 The Shirley Tanyhill,18.8,22,16
21,K303,I.S. 303 Herbert S. Eisenberg,30.85,33.5,26.5
21,K337,International High School at Lafayette,17.206666666666667,18.866666666666667,15.933333333333334
21,K344,Rachel Carson High School for Coastal Studies,25.923529411764704,30.352941176470587,19.941176470588236
21,K348,High School of Sports Management,26.392857142857142,28.214285714285715,24.642857142857142
21,K410,Abraham Lincoln High School,27.66842105263158,34.1578947368421,17.31578947368421
21,K468,Kingsborough Early College School,24.63,27.1,22.4
21,K525,Edward R. Murrow High School,30.315,34.4,19.8
21,K540,John Dewey High School,28.37,35.1,18.4
21,K559,Life Academy High School for Film and Music,24.25,24.833333333333332,23.666666666666668
21,K572,Expeditionary Learning School for Community Leaders,21.15714285714286,23.071428571428573,18.5
21,K620,William E. Grady Career and Technical Education High School,25.629411764705882,30.58823529411765,19.764705882352942
21,K690,Brooklyn Studio Secondary School,26.58421052631579,31.05263157894737,21.473684210526315
21,K728,Liberation Diploma Plus,15.4,17,13.714285714285714
22,K014,J.H.S. 014 Shell Bank,23.6,27.5,20
22,K078,J.H.S. 078 Roy H. Mann,27,27,27
22,K206,P.S. 206 Joseph F Lamb,23,23,23
22,K207,P.S. 207 Elizabeth G. Leary,27,27,27
22,K278,J.H.S. 278 Marine Park,21.5,24.5,17.5
22,K405,Midwood High School,31.963157894736842,34.421052631578945,22.42105263157895
22,K425,James Madison High School,30.494444444444444,33.55555555555556,22.5
22,K495,Sheepshead Bay High School,26.14,31.75,17.25
22,K535,Leon M. Goldstein High School for the Sciences,31.58235294117647,33.705882352941174,26.705882352941178
22,K555,Brooklyn College Academy,26.270588235294117,32.1764705882353,18.41176470588235
23,K041,P.S. 041 Francis White,27.1,33,19
23,K493,Brooklyn Collegiate: A College Board School,24.79285714285714,30.357142857142858,18.214285714285715
23,K514,Frederick Douglass Academy VII High School,23,25.8125,19.625
23,K522,Mott Hall IV,29,29,29
23,K645,EBC/ENY High School for Public Safety & Law,19.825,24,14.75
23,K646,Aspirations Diploma Plus High School,18.955555555555556,21.11111111111111,16.555555555555557
23,K647,Metropolitan Diploma Plus High School,21.35,23.125,19.125
23,K697,Teachers Preparatory High School,25.10625,30.8125,18.125
24,Q077,I.S. 077,28,28,28
24,Q093,I.S. 093 Ridgewood,28.25,29.5,27
24,Q119,I.S. 119 The Glendale,26.866666666666667,29.333333333333332,23.333333333333332
24,Q264,Academy of Finance and Enterprise,24.305882352941175,30.529411764705884,18.88235294117647
24,Q267,High School of Applied Communication,22.076470588235296,27.176470588235293,17.235294117647058
24,Q293,Civic Leadership Academy,23.35,27.357142857142858,19.142857142857142
24,Q296,Pan American International High School,19.726666666666667,23.933333333333334,16.266666666666666
24,Q299,Bard High School Early College II,20.47142857142857,24,16.071428571428573
24,Q455,Newtown High School,27.31111111111111,32.888888888888886,19.38888888888889
24,Q485,Grover Cleveland High School,26.985,33.1,20.2
24,Q520,Middle College High School at LaGuardia Community College,18.5,20.76923076923077,16.153846153846153
24,Q530,International High School at LaGuardia Community College,17.00769230769231,20.46153846153846,14.307692307692308
24,Q550,High School for Arts and Business,27.405555555555555,31.77777777777778,19.77777777777778
24,Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",26.5,28.705882352941178,24.41176470588235
24,Q600,Queens Vocational and Technical High School,28.45625,33.625,20.0625
24,Q610,Aviation Career & Technical Education High School,28.16111111111111,32.94444444444444,19.444444444444443
25,Q189,J.H.S. 189 Daniel Carter Beard,30.95,32.5,30
25,Q194,J.H.S. 194 William Carr,26,26,26
25,Q252,"Queens School of Inquiry, The",24.586666666666666,28.333333333333332,21.133333333333333
25,Q263,Flushing International High School,19.192307692307693,27.076923076923077,14.846153846153847
25,Q281,East-West School of International Studies,28.933333333333334,32.46666666666667,25.666666666666668
25,Q285,World Journalism Preparatory: A College Board School,25.04736842105263,28.05263157894737,21.94736842105263
25,Q425,John Bowne High School,29.385,34,18.4
25,Q460,Flushing High School,30.026315789473685,34.526315789473685,19.68421052631579
25,Q525,Townsend Harris High School,29.3625,33.125,22.75
25,Q540,Queens Academy High School,24.21,31.1,16.3
25,Q670,Robert F. Kennedy Community High School,30.316666666666666,33.388888888888886,25.27777777777778
25,Q792,North Queens Community High School,19.86875,23.75,15.875
26,Q067,J.H.S. 067 Louis Pasteur,28.7,32,26
26,Q158,M.S. 158 Marie Curie,29.975,30.5,29
26,Q172,Irwin Altman Middle School 172,29.325,30.25,28.75
26,Q415,Benjamin N. Cardozo High School,31.105263157894736,33.89473684210526,19.05263157894737
26,Q430,Francis Lewis High School,30.236842105263158,34.26315789473684,17.36842105263158
26,Q435,Martin Van Buren High School,27.125,32.95,17
26,Q495,Bayside High School,32.40526315789474,34.05263157894737,25.157894736842106
26,Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",28.983333333333334,32.611111111111114,23
27,Q043,P.S. 043,27.5,28,27
27,Q137,M.S. 137 America's School of Heroes,38.65,45.5,35
27,Q183,P.S. 183 Dr. Richard R. Green,27.5,30,25
27,Q202,J.H.S. 202 Robert H. Goddard,34.3,35,33
27,Q207,P.S. 207 Rockwood Park,22,22,22
27,Q210,J.H.S. 210 Elizabeth Blackwell,25.05,26,22
27,Q232,P.S. 232 Lindenwood,34,34,34
27,Q260,Frederick Douglass Academy VI High School,24.564285714285713,29,18.142857142857142
27,Q262,Channel View School for Research,26.38235294117647,30.058823529411764,21.470588235294116
27,Q282,Knowledge and Power Preparatory Academy VI,28.6,32,27
27,Q302,"Queens High School for Information, Research, and Technology",23.276923076923076,27.76923076923077,18.23076923076923
27,Q308,Robert H. Goddard High School of Communication Arts and Technology,30.116666666666667,32.388888888888886,28.166666666666668
27,Q309,Academy of Medical Technology: A College Board School,23.327272727272728,26.727272727272727,19.454545454545453
27,Q323,Scholars' Academy,25.93846153846154,30.46153846153846,19.692307692307693
27,Q324,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,24.3,25.8,22.6
27,Q400,August Martin High School,28.77777777777778,33.666666666666664,22.27777777777778
27,Q410,Beach Channel High School,29.41578947368421,32.21052631578947,24.157894736842106
27,Q475,Richmond Hill High School,29.95,33.388888888888886,21.833333333333332
27,Q480,John Adams High School,27.31578947368421,34.68421052631579,17.894736842105264
27,Q650,"High School for Construction Trades, Engineering and Architecture",26.847058823529412,31.235294117647058,20.41176470588235
28,Q008,J.H.S. 008 Richard S. Grossley,27.1,29,25
28,Q157,J.H.S. 157 Stephen A. Halsey,17.3,19.4,14.4
28,Q190,J.H.S. 190 Russell Sage,19.5,19.5,19.5
28,Q217,J.H.S. 217 Robert A. Van Wyck,20,20,20
28,Q284,York Early College Academy,25.10909090909091,28.545454545454547,21.727272727272727
28,Q310,Queens Collegiate: A College Board School,22.52857142857143,25.857142857142858,19.214285714285715
28,Q325,HILLSIDE ARTS & LETTERS ACADEMY,22.75,24.25,21.25
28,Q328,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,21.94,24.2,18.4
28,Q338,Queens Satellite High School for Opportunity,27.553846153846155,31.076923076923077,22.615384615384617
28,Q440,Forest Hills High School,31.205882352941178,35.588235294117645,19.294117647058822
28,Q470,Jamaica High School,25.457894736842107,31.473684210526315,16.31578947368421
28,Q505,Hillcrest High School,28.885714285714286,31.928571428571427,21.714285714285715
28,Q620,Thomas A. Edison Career and Technical Education High School,29.616666666666667,32.833333333333336,20.333333333333332
28,Q680,Queens Gateway to Health Sciences Secondary School,27.61111111111111,31.444444444444443,21.61111111111111
28,Q686,QUEENS METROPOLITAN HIGH SCHOOL,29.55,30.5,27.5
28,Q687,Queens High School for the Sciences at York College,26.006666666666668,31.266666666666666,20.4
28,Q690,High School for Law Enforcement and Public Safety,29.34375,32.75,25.375
28,Q896,"Young Women's Leadership School, Queens",21.87142857142857,26.928571428571427,16.428571428571427
29,Q059,I.S. 059 Springfield Gardens,26.2,34,18
29,Q109,Jean Nuzzi Intermediate School,21.5,21.5,21.5
29,Q116,PS/IS 116 William C. Hughley,19.9,22,17.5
29,Q238,I.S. 238 Susan B Anthony,23,24,21.666666666666668
29,Q248,Queens Preparatory Academy,25.653333333333332,28.866666666666667,22.2
29,Q259,Pathways College Preparatory School: A College Board School,25.775,29.666666666666668,21.666666666666668
29,Q265,Excelsior Preparatory High School,25.27777777777778,28.88888888888889,21.944444444444443
29,Q272,George Washington Carver High School for the Sciences,28.26875,32.5,21.6875
